checking coverage with
forcefield = refit/fb-fit/forcefield/force-field.offxml
dataset = /home/brent/omsf/projects/benchmarking/datasets/industry.json
finished loading collection after 1.1 s
finished to_records after 1.1 s
finished counting results after 6272.2 s
217 / 257 (84.4%) ids covered:
a0      14   [*:1]~[*:2]~[*:3]
a1      55   [*:1]!@;~[*:2]~[*:3]
a2      72   [H0:1]!@;~[*:2]~[*:3]
a3     748   [!#8:1]~[*:2]~[*:3]
a4      38   [!#7!#8:1]~[*:2]~[*:3]
a5      16   [!#7!#8x0:1]~[H0:2]~[*:3]
a6     165   [!#7!#8x0:1]~[H0:2]~[#7:3]
a7      15   [!#7!#8x0:1]~[H0:2]~[#7!X2:3]
a8   363859   [!#7!#8!#16:1]~[*:2]~[*:3]
a9    4903   [!#7!#8!#16H2:1]~[*:2]~[H3:3]
a10    474   [!#7!#8!#16:1]~[r6:2]~[r4:3]
a11   4045   [!#7!#8!#16:1]~[r5:2]~[H3:3]
a12    338   [!#7!#8!#16H2:1]~[r5:2]~[H3:3]
a13   2261   [!#7!#8!#16H1:1]~[*:2]~[H3:3]
a14   1574   [!#7!#8!#16!X3H1:1]~[*:2]~[H3:3]
a15     68   [!#7!#8!#16x3H1:1]~[*:2]~[H3:3]
a16    420   [!#7!#8!#16r5:1]~[*:2]~[r7:3]
a17      0   [!#7!#8!#16X2:1]~[*:2]~[X3:3]
a18   1042   [!#7!#8!#16:1]~[r5:2]~[r4:3]
a19    374   [!#7!#8!#16r7H1:1]~[*:2]~[*:3]
a20    184   [!#7!#8!#16:1]~[*:2]~[#7x0:3]
a21    120   [!#7!#8!#16r5:1]~[*:2]~[#7x0:3]
a22    483   [!#7!#8!#16H1:1]~[r7:2]~[*:3]
a23    739   [!#7!#8!#16H1:1]~[r7:2]~[x2:3]
a24    366   [!#7!#8!#16H1:1]~[r7:2]~[#1!x2:3]
a25     96   [!#6!#7!#8!#16:1]~[*:2]~[#7:3]
a26   4943   [!#6!#7!#8!#16:1]~[*:2]~[#7H0:3]
a27    113   [!#7!#8!#16:1]~[x0:2]~[#7:3]
a28    366   [!#7!#8!#16:1]~[x0:2]~[#7!X2:3]
a29    253   [!#1!#7!#8!#16:1]~[x0:2]~[#7:3]
a30    345   [!#1!#7!#8!#16X3x0:1]~[x0:2]~[#7:3]
a31     76   [!#7!#8!#16H1:1]~[x0:2]~[#7:3]
a32    596   [!#7!#8!#16:1]~[*:2]~[!#6r7:3]
a33      6   [#17:1]~[*:2]~[*:3]
a34     27   [#15:1]~[*:2]~[*:3]
a35     27   [#15:1]~[*:2]~[!X3:3]
a36     19   [!#7!#8!#16:1]~[*:2]~[#17:3]
a37    636   [!#8:1]~[*:2]~[#8:3]
